moniker,IP
412a,	77.74.192.245
Cypher Core,	207.246.72.35
clawmvp.xyz,	45.32.133.125
comdex-1,	11.0.3.12
bflabs,	142.93.189.143
Uranus,	206.189.214.28
sikka,	159.65.73.193
Safethecildren,	104.248.14.66
coolbitbitbit,	138.197.171.65
credence,	142.93.186.65
Apachto,	178.62.66.20
Snowballs,	178.128.245.140
KoreaNumberOne,	206.189.169.231
serenity,	138.197.136.84
Obsidian,	104.248.51.66
Mintelephantflavored,	104.248.214.99
Mochalmond,	159.203.189.151
Asterilla.one,	138.68.11.9
Pineapple,	104.248.23.99
Minotaur,	178.128.187.88
smooth-operator,	167.99.176.92
crazyfrog,	178.62.230.176
Karabo,	142.93.185.233
Magog,	104.248.0.167
Athituwa,	142.93.65.15
Municadianna,	138.68.1.104
MissSigma,	104.248.217.213
dar,	104.248.252.220
Milo,	67.205.138.220
Aeon,	142.93.95.99
randomness,	209.97.180.66
cheetah,	104.248.138.125
Wyver-io,	138.68.53.128
Hemingway,	104.248.182.62
communist,	178.128.226.107
Kyle-validator,	142.93.194.233
Michelle,	188.166.81.111
StakerSpace,	188.166.116.80
trustworthy,	188.166.111.5
milkydays,	104.248.2.234
Triton,	104.248.114.186
Toghterwecanbit,	104.248.255.249
Blue-Mary,	167.99.207.228
weakendiscoming,	159.89.235.72
gandhi,	142.93.74.131
Kazuya,	167.99.32.171
Cerberus,	178.128.193.218
Kotonami,	138.68.60.251
Perdulum,	206.189.118.170
Knatanoby,	165.227.42.158
sybil2,	209.97.137.205
Pneumonoultramicroscopicsilicovolcanoconiosis,	167.99.191.246
Strowberrysmouthy,	104.248.55.104
Gammaw,	167.99.49.42
Pondelica,	142.93.50.205
Certus One,	5.83.160.199
Mimas,	138.197.159.239
134340-Pluto,	178.128.74.63
Neptune,	142.93.179.191
bitme-partners,	142.93.206.115
Hoshino,	104.248.130.197
Gold,	195.189.195.59
sol,	104.248.116.165
Hydra-validator,	69.55.60.99
sybil1,	167.99.111.80
doyoulift,	159.203.47.1
hotfuzz,	188.166.81.80
lamamama,	142.93.250.167
bing,	206.189.65.207
Castlenode,	77.87.106.26
Bonang,	104.248.10.230
ethereumos,	188.166.117.161
TrustThisValidator,	104.248.128.129
Manticore,	178.128.235.62
JabuLabs,	167.99.145.179
mango-sentry,	159.65.13.34
JS,	107.172.252.74
AkiyamaTrust,	138.68.244.83
bitandether,	142.93.46.50
DOGE-1337,	209.97.154.144
moonmoon,	104.248.135.80
cosmowow,	104.248.6.139
Masaki,	209.97.133.156
lvl99,	178.128.90.143
Mira,	178.128.144.156
sentinl-validator,	185.227.110.166
melea-trust-4BE49EABAA41B8BF,	54.39.98.105
stake.zone,	45.124.65.133
validator.network,	169.254.2.2
zednode,	54.201.197.225
